Account,Level,Account Name,Account Title,Standard Cost Equation?,Count Scaling Variable,Count per Variable,Optional Variable,Optional Value,Fixed Cost ($),Unit Cost,Unit Cost (units),Scaling Variable,Scaling Variable Ref Value,Units,Exponent,Dollar Year,Type,Source,Ref,Link,Notes,FOAK to NOAK Multiplier Type,Fixed Cost Low End,Fixed Cost High End,Fixed Cost Distribution,Unit Cost Low End,Unit Cost High End,Unit Cost Distribution,Exponent std,Exponent Max,Exponent Min,Exponent Distribution
214.19,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Servicing Building Volume,,,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
214.2,3,Helium Purification and Storage Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.21,4,Helium Purification and Storage Building Roof,                        Helium Purification and Storage Building Roof,standard,Constant,1,,,,1836,$/m^3,Helium Purification and Storage Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
214.22,4,Helium Purification and Storage Building Basement,                        Helium Purification and Storage Building Basement,standard,Constant,1,,,,1444.167,$/m^3,Helium Purification and Storage Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
214.23,4,Helium Purification and Storage Building Walls,                        Helium Purification and Storage Building Walls,standard,Constant,1,,,,1103.4513000000002,$/m^3,Helium Purification and Storage Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
214.29,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Helium Purification and Storage Building Volume,,,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
214.6,3,Servicing Facility Integrated Control Room,                  Servicing Facility Integrated Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.61,4,Servicing Facility Integrated Control Room Roof,                        Servicing Facility Integrated Control Room Roof,standard,Constant,1,,,,1836,$/m^3,Servicing Facility Integrated Control Room Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
214.62,4,Servicing Facility Integrated Control Room Basement,                        Servicing Facility Integrated Control Room Basement,standard,Constant,1,,,,1444.167,$/m^3,Servicing Facility Integrated Control Room Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
214.63,4,Servicing Facility Integrated Control Room Walls,                        Servicing Facility Integrated Control Room Walls,standard,Constant,1,,,,1103.4513000000002,$/m^3,Servicing Facility Integrated Control Room Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
